Jesse Carmichael 
Jesse Colburn 
Jesse Cook
Jesse Ed Davis
Jesse Hughes 
Jesse James Dupree 
Jesse Lacey 
Jesse Michaels 
Jesse Rivest
Jessica Harp 
Jett Pangan 
Jewel Kilcher
Jim Babjak 
Jim Corr 
Jim Croce
Jim Ferguson
Jim Fuller 
Jim Hall
Jimi Hendrix 
Jim Martin 
Jimmie Vaughan
Jim Moginie 
Jimmy Bruno
Jimmy Buffett
Jimmy Hotz
Jimmy Johnson 
Jimmy Lyon 
Jimmy McCulloch 
Jimmy Nail
Jimmy Page 
Jimmy Raney
Jim O'Rourke
Jim Reverend Horton Heath
Jim West 
J.J. Belle
JJ Cale
J Mascis 
Joan Armatrading
Joan Jett 
Joanne Shaw Taylor
João Gilberto
Jo Callis 
Jody Porter 
Jody Williams
Joe Beck
Joe Becker
Joe Bonamassa
Joe Don Rooney 
Joe Jonas 
Joel Hanson 
Joel Hoekstra 
Joe Long 
Joel Plaskett 
Joel Stroetzel 
Joe Negri
Joe Pass
Joe Perry 
Joe Romersa
Joe Satriani 
Joe Strummer 
Joe Stump
Joe Walsh 
Joey Cape 
Joey Jordison 
Joey Santiago 
Joey Tafolla 
Johan Hallgren 
Johanna Beisteiner
John 5 
John Abercrombie
John Ashton 
John Brewster 's
John Bruce Wallace
John Butler 
John Charlie Whitney 
John Christ 
John Cipollina 
John Collins 
John Connolly 
John Corabi 
John Curulewski 
John Denver
John Ellis 
John Engelbert 
John Fahey
John Farrar 
John Flansburgh 
John Fogerty 
John Frusciante 
John Jorgenson
John Kay 
John LeCompt
John Lennon 
John Lilley 
John Lombardo 
John Martyn
John Mayer
John McFee 
John McGeoch 
John McLaughlin 
John McNally 
John Nolan 
John Norum 
Johnny A.
Johnny Cash
Johnny Depp
Johnny Goudie 
Johnny Hiland
Johnny Marr 
Johnny Ramone 
Johnny Rzeznik 
Johnny Smith
Johnny Thunders 
Johnny Winter
John Oates 
John Petrucci 
John Renbourn
John Rich 
John Scofield
John Sekula 
John Squire 
John Stewart 
John Sykes 
John Taylor 
John Tropea
John Turnbull 
John Verity 
John Weider 
John Wesley 
John Williams
Jol Dantzig 
Jonathan Butler
Jonathan Coulton
Jona Weinhofen 
Jon Finn 
Jon Foreman 
Joni Mitchell
Jonny Buckland 
Jonny Greenwood 
Jonny Lang
Jonny Phillips 
Jonny Wickersham 
Jon Schaffer 
Jon Siebels 
Jon Walker 
Jordin Sparks
Jörg Fischer 
Jorma Kaukonen 
José Feliciano
José González
Joseph Arthur
Joseph Trohman 
Josh Cunningham 
Josh Farro 
Josh Klinghoffer 
Josh Turner
Joshua Homme 
Josh White
Juanes
Juan Serrano
Jules Hodgson 
Julian Bream
Julian Lennon
Julian Mandrake, 
Jussi Sydänmaa 
Justin Beck 
Justin Emerle 
Justin Furstenfeld 
Justin Hawkins 
Justin Hayward 
Justin King
Justin Sandercoe
Justin Sane 
Kai Hansen 
Kaki King
Kamil Rustam
Kaoru 
Kapil Srivastava
Karl Logan 
Kat Bjelland 
Kate Voegele
Kathleen Edwards
Katie Melua
Kazuhito Yamashita
Keeley Davis 
Kee Marcello 
Keith Hopwood 
Keith Howland 
Keith Relf 
Keith Richards 
Keith Scott 
Keith Smith 
Keith Urban 
Kele Okereke 
Kelly Johnson 
Kelly Jones 
Ken Hensley
Ken Kitamura 
Kenn Smith
Kenny Burrell
Kenny Loggins
Kenny Wayne Shepherd
Kerry King 
Kerry Livgren 
Kevin Cadogan 
Kevin Cronin 
Kevin Eubanks
Kevin Hearn 
Kevin Shields 
Kian Egan 
Kid Congo Powers 
Kim Carroll
Kim Mitchell
Kim Shattuck 
Kim Thayil 
Kirk Hammett 
Kirk Pengilly 
Kix Brooks 
K. K. Downing 
Knut Schreiner 
Kôji Kiriki 
Korey Cooper 
Kris Allen
Kristen Hall 
Kristian Bush 
KT Tunstall
Kurt Cobain 
Kurt Rosenwinkel
Kyle Bobby Dunn
Kyle Cook 
Kyle Gass 
Lalo Guerrero
Larry Carlton
Larry Coryell
Larry Knechtel
Larry Sparks 
Lars Frederiksen 
Lars-Olof Johansson 
Laura Jane Grace 
Laurent Brancowitz 
Laurindo Almeida
Lawson Rollins
Ledward Kaapana
Lee Mavers 
Lee Ranaldo 
Lee Ritenour
Lee Ving 
Leigh Stephens 
Lenny Breau
Lenny Davidson 
Lenny Kaye 
Leo Kottke
Leonard Cohen
Leo Setiawan 
Ler LaLonde 
Les Dudek
Les Fradkin 
Les Harvey 
Leslie West 
Les Paul
Lester Flatt 
Lester Square 
Lettie
Lex Plotnikoff 
Liam Clancy 
Lightnin' Hopkins
Lincoln Brewster
Linda Perry 
Lindsey Buckingham 
Link Wray
Lisa Loeb
Lita Ford 
Lonnie Mack
Louis Shelton
Lou Reed 
Lowell George 
Luca Turilli 
Ludovico Roncalli
Luther Grosvenor 
Luther Perkins 
Lynda Thomas
Lynval Golding 
Madonna
Magne Furuholmen 
Magnus Andersson
Mahyar Dean 
Maja Ivarsson 
Malcolm Young 
Manabu Satô 
Mana Mana 
Manny Charlton 
Manolo Sanlúcar
Manuel Göttsching 
Marc Bolan 
Marcel Dadi
Marc Ford 
Marcie Bolen 
Marc Moreland 
Marco Restrepo
Marc Orrell 
Marc Ribot 
Marc Riley 
Marcus Adoro 
Marcus Miller
Marcus Siepen 
Marion Raven
Marit Larsen
Mark Boston 
Mark Bryan 
Mark Farner 
Mark Hart 
Mark Hoppus 
Mark Knopfler 
Mark Lee Townsend 
Mark O'Connor
Marko DeSantis 
Mark Tremonti 
Mark Volman
Marshall Crenshaw
Martin Barre 
Martin Cilia 
Martin Gore 
Martin Pugh 
Martin Rotsey 
Martin Slattery 
Martin Taylor
Marty Friedman 
Marty Willson-Piper 
Marv Tarplin 
Mary Halvorson
Mary Hopkin
Mason Williams
Mat Devine 
Mateo Camargo 
Matt Bachand 
Matt Guitar Murphy
Matt Heafy 
Matthew Bellamy 
Matthew Friedberger 
Matthew Sweet
Matthias Jabs 
Matt Hoopes 
Mattias Eklundh 
Matt Scannell 
Matt Skiba 
Matt Thiessen 
Matty Lewis 
Maura Davis 
Maurice Gibb 
Mauro Giuliani
Max Cavalera 
Max Richards 
Maybelle Carter 
Melvin Taylor
Melvin Wah-Wah Watson Ragin
Memphis Minnie
Meredith Brooks
Merle Travis
Michael Algar Toy Dolls
Michael Amott 
Michael Angelo Batio 
Michael Bearpark 
Michael Brook
Michael Bruce 
Michael Gulezian
Michael Gurley 
Michael Guy Chislett 
Michael Hampton 
Michael Hedges
Michael Houser 
Michael Landau
Michael Lee Firkins
Michael Monarch 
Michael Nesmith 
Michael Paget 
Michael Poulsen 
Michael Ricketts
Michael Romeo 
Michael Schenker
Michael Sweet 
Michael Weber
Michael Wilton 
Michelle Branch 
Michelle Meldrum 
Mick Abrahams 
Mick Barr 
Mick Box 
Mickey Baker
Mick Hucknall 
Mick Jones 
Mick Mars 
Mick Ralphs 
Mick Ronson 
Mick Taylor 
Mick Thomson 
Midge Ure 
Miika Tenkula 
Mikael Åkerfeldt 
Mikael Stanne]
Mike Bloomfield
Mike Brewer
Mike Brown
Mike Campbell 
Mike Campese
Mike Clark 
Mike Davis 
Mike Einziger 
Mike Hamilton 
Mike Johnson 
Mike McCready 
Mike Ness 
Mike Oldfield
Mike Pender 
Mike Riggs 
Mike Rutherford 
Mike Shinoda 
Mike Slamer 
Mike Stern 
Mike Stone 
Mike Turner 
Mike Varney 
Miki Berenyi 
Mikko Lindström 
Miley Cyrus
Mindy Smith
Miranda Cosgrove
Miranda Lambert
Mircea Gogoncea
Mississippi Fred McDowell
Mississippi John Hurt
Miyavi 
Miyu Nagase 
MJ Hibbett
Morris Pleasure 
Muhammed Suiçmez 
Muriel Anderson
Myles Goodwyn 
Nancy Wilson 
Narciso Yepes
Naser Mestarihi
Nate Albert 
Nathan Moore 
Neal Schon 
Ned Collette
Neil Young 
Neko Case 
Nelly Furtado
Newton Faulkner
Nic Cester 
Niccolò Paganini
Nicholas Barron
Nicholas Tse
Nick Catanese 
Nick Drake
Nicke Andersson 
Nicke Borg 
Nick Falcon 
Nick Gilder 
Nick Harper
Nick Hawkins 
Nick Hexum 
Nick, Kevin
Nick McCabe 
Nick McCarthy 
Nick Pollock 
Nick Sheppard 
Nick Valensi 
Nick Zinner 
Nico Constantine 
Nicolas de Angelis
Nicolas Godin 
Nigel Tufnel 
Niklas Sundin 
Nils Lofgren 
Nina Gordon 
Noel Gallagher 
Nokie Edwards 
Noodle 
Noodles 
Norbert Krief 
Norman Blake
Norman Blake 
Norman Brown
Norman Greenbaum
Nuno Bettencourt 
Nuno Mindelis
Octave Octavian Teodorescu
Oli Brown 
Olli Tukiainen 
Omar Espinosa 
Omar Rodríguez-López 
Orianthi
Orianthi Panagaris
Otis Rush
Otis Taylor
Ottmar Liebert
Owen Wright 
Øystein Sunde
Oz Fox 
Paco de Lucía
Paco Peña
Page Hamilton 
Pappo
Pasi Koskinen 
